--------- beginning of system 
12-27 11:28:13.218   982   982 I Leopard : ** build version : [20221118104802] ** 
12-27 11:28:13.224   982   982 I Leopard : get_cmdline_value(): lge.bootmode= doesn't exist in [/proc/cmdline] 
12-27 11:28:13.224   982   982 I Leopard : get_cmdline_value(): find [lge.bootmode=] in [/tmp/bootmode_cmd] 
12-27 12:28:27.759  1542 16537 I DiagManagerService: onWatchDog Kick
12-27 12:28:28.002  1539 16566 V DebugManagerServiceImpl: DEBUG_IMPL_KICK_DOG
12-27 12:28:28.161   993  1701 V CTH     : TXhandleMessage TX_TIME_TO_KICK_DOG
12-27 12:28:28.161   993  1700 V CRH     : RX_TIME_TO_KICK_DOG
12-27 12:28:28.161   993  1506 V CANManagerService: perform HeartBeat()
12-27 12:28:28.308   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 19 00 03 08 54 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:28:28.316   977  1572 E SPIClient_can: CL-ISPI_CSPB_OSC
12-27 12:28:28.316   977  1572 E SPIClient_can: RCV CB Single(0), Group(0)
12-27 12:28:28.316   977  1668 E SPIClient_can: MSG_CAN_BUS_STATE
12-27 12:28:28.316   977  1668 E SPIClient_can: CB_2
12-27 12:28:29.717   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, DD] Cmd[05, 00] PayloadLen[0006] Payload[00 FE 00 00 00 1E]
12-27 12:28:29.718  1542  1862 I DiagDataManager: Received new bub celsius 30
12-27 12:28:29.718  1542  1862 D Buffer  : start dump length[4]
12-27 12:28:29.718  1542  1862 D Buffer  : [0x00][0x00][0x00][0x1e]
12-27 12:28:29.718  1542  1862 I DiagDataManager: notifyCelsiusToRegiedServices notified to receiver index[0]
12-27 12:28:29.718  1542  1862 I BpDiagManagerReceiver: BP_onReceive
12-27 12:28:29.718  1542  1862 I DiagDataManager: notifyCelsiusToRegiedServices notified to receiver index[1]
12-27 12:28:29.719  1542  1862 I BpDiagManagerReceiver: BP_onReceive
12-27 12:28:29.719  1542  1862 I DiagDataManager: notifyCelsiusToRegiedServices notified to receiver index[2]
12-27 12:28:29.719  1542  1862 I BpDiagManagerReceiver: BP_onReceive
12-27 12:28:29.719  1536 13828 D AudioManagerService: bub_cel updated from Diag : payload = 0x1e bub_celsius(30)
12-27 12:28:29.719  1536 13828 I BpDiagManagerReceiver: TRANSACT_DIAG_ONRECEIVE cmd[221] cmd2[5]
12-27 12:28:29.719 26409 13827 I BpDiagManagerReceiver: TRANSACT_DIAG_ONRECEIVE cmd[221] cmd2[5]
12-27 12:28:29.719  1863 12326 I BpDiagManagerReceiver: TRANSACT_DIAG_ONRECEIVE cmd[221] cmd2[5]
12-27 12:28:31.307   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 1A 00 06 08 54 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:28:33.178  1542  1542 E DIAG    : onNotifyVoltage BUB Vol[0.000000]
12-27 12:28:33.179   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, 22] Cmd[02, 00] PayloadLen[000A] Payload[D9 9E 00 00 00 05 00 00 00 37]
12-27 12:28:33.330   977  1572 E SPIClient_can: CL-ISPI_CSPB_OSC
12-27 12:28:33.330   977  1572 E SPIClient_can: RCV CB Single(0), Group(0)
12-27 12:28:33.330   977  1668 E SPIClient_can: MSG_CAN_BUS_STATE
12-27 12:28:33.330   977  1668 E SPIClient_can: CB_2
12-27 12:28:34.205   991  1523 E CM_SPI  : MCU->MSM Type[02] Cat[04, 00] Cmd[D1, 00] PayloadLen[0006] Payload[16 0C 1B 0C 1C 23]
12-27 12:28:34.206  1550  1698 V FactoryImpl: onReceive MCU type[x2], cate[x4], subcate[x0], cmd[209], cmd2[x0]
12-27 12:28:34.206  1550  1698 V FactoryUtil: onReceive MCU param[x02][xD1][x00], bufSize[6:6]:[x16][x0C][x1B][x0C][x1C][x23]...
12-27 12:28:34.206  1550  1689 V FactoryUtil: handleMessage FACTORY_IMPL_RES_FR_MCU_EDU param[x04][xD1][x00], bufSize[6:6]:[x16][x0C][x1B][x0C][x1C][x23]...
12-27 12:28:34.206  1550  1689 V FactoryEdu: procEduResCommand cate[x04], subCate[x00], cmd[xD1], cmd2[x00]
12-27 12:28:34.206  1550  1689 V FactoryUtil: Res Buffer  bufSize[6]
12-27 12:28:34.206  1550  1689 V FactoryUtil: [x16][x0C][x1B][x0C][x1C][x23]
12-27 12:28:34.206  1550  1689 V FactoryEdu: procEduResCommand cmd not define cate[x04], subCate[x00], cmd[xD1], cmd2[x00]
12-27 12:28:34.309   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 1A 00 09 08 56 00 01 00 01 00 01 00 01 00 01 00 02]
12-27 12:28:35.562   987  1482 I LocationServer: droutput:lat:0.000000,lon:0.000000,alt:0.000000
12-27 12:28:35.582   991  1523 E CM_SPI  : MSM->MCU Type[01] Cat[01, 00] Cmd[11, 00] PayloadLen[0000]
12-27 12:28:35.593   991  1523 E CM_SPI  : MCU->MSM Type[02] Cat[01, 00] Cmd[11, 00] PayloadLen[0000]
12-27 12:28:35.593  1550  1698 V FactoryImpl: onReceive MCU type[x2], cate[x1], subcate[x0], cmd[17], cmd2[x0]
12-27 12:28:35.593  1550  1698 V FactoryUtil: onReceive MCU param[x02][x11][x00], buf is NULL
12-27 12:28:35.593  1550  1689 V FactoryUtil: handleMessage FACTORY_IMPL_RES_FR_MCU_EDU param[x01][x11][x00], buf is NULL
12-27 12:28:35.593  1550  1689 V FactoryEdu: procEduResCommand cate[x01], subCate[x00], cmd[x11], cmd2[x00]
12-27 12:28:35.593  1550  1689 V FactoryUtil: Res Buffer  buf is NULL
12-27 12:28:35.593  1550  1689 V FactoryEdu: procEduResCommand cmd not define cate[x01], subCate[x00], cmd[x11], cmd2[x00]
12-27 12:28:35.981   991  1508 E CommunicationManagerService: KICK DOG(363)
12-27 12:28:36.303   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, DD] Cmd[05, 00] PayloadLen[0006] Payload[00 FE 00 00 00 1F]
12-27 12:28:36.303  1542  1862 I DiagDataManager: Received new bub celsius 31
12-27 12:28:36.303  1542  1862 D Buffer  : start dump length[4]
12-27 12:28:36.303  1542  1862 D Buffer  : [0x00][0x00][0x00][0x1f]
12-27 12:28:36.304  1542  1862 I DiagDataManager: notifyCelsiusToRegiedServices notified to receiver index[0]
12-27 12:28:36.304  1542  1862 I BpDiagManagerReceiver: BP_onReceive
12-27 12:28:36.304  1542  1862 I DiagDataManager: notifyCelsiusToRegiedServices notified to receiver index[1]
12-27 12:28:36.304  1542  1862 I BpDiagManagerReceiver: BP_onReceive
12-27 12:28:36.304  1542  1862 I DiagDataManager: notifyCelsiusToRegiedServices notified to receiver index[2]
12-27 12:28:36.304  1542  1862 I BpDiagManagerReceiver: BP_onReceive
12-27 12:28:36.304 26409 13827 I BpDiagManagerReceiver: TRANSACT_DIAG_ONRECEIVE cmd[221] cmd2[5]
12-27 12:28:36.304  1536 13828 D AudioManagerService: bub_cel updated from Diag : payload = 0x1f bub_celsius(31)
12-27 12:28:36.304  1536 13828 I BpDiagManagerReceiver: TRANSACT_DIAG_ONRECEIVE cmd[221] cmd2[5]
12-27 12:28:36.304  1863 12326 I BpDiagManagerReceiver: TRANSACT_DIAG_ONRECEIVE cmd[221] cmd2[5]
12-27 12:28:36.541  1542  1680 I DiagReadDTCHandler: checkFaultSettingCondition[false] PM[0] Vol[12.020000] bubTemp [31]
12-27 12:28:37.308   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 18 00 0A 08 54 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:28:37.759  1542 17709 I DiagManagerService: onWatchDog Kick
12-27 12:28:38.002  1539 17738 V DebugManagerServiceImpl: DEBUG_IMPL_KICK_DOG
12-27 12:28:38.162   993  1701 V CTH     : TXhandleMessage TX_TIME_TO_KICK_DOG
12-27 12:28:38.163   993  1506 V CANManagerService: perform HeartBeat()
12-27 12:28:38.164   993  1700 V CRH     : RX_TIME_TO_KICK_DOG
12-27 12:28:38.336   977  1572 E SPIClient_can: CL-ISPI_CSPB_OSC
12-27 12:28:38.336   977  1572 E SPIClient_can: RCV CB Single(0), Group(0)
12-27 12:28:38.336   977  1668 E SPIClient_can: MSG_CAN_BUS_STATE
12-27 12:28:38.336   977  1668 E SPIClient_can: CB_2
12-27 12:28:40.308   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 17 00 09 08 55 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:28:42.903   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, DD] Cmd[05, 00] PayloadLen[0006] Payload[00 FE 00 00 00 1E]
12-27 12:28:42.904  1542  1862 I DiagDataManager: Received new bub celsius 30
12-27 12:28:42.904  1542  1862 D Buffer  : start dump length[4]
12-27 12:28:42.904  1542  1862 D Buffer  : [0x00][0x00][0x00][0x1e]
12-27 12:28:42.904  1542  1862 I DiagDataManager: notifyCelsiusToRegiedServices notified to receiver index[0]
12-27 12:28:42.904  1542  1862 I BpDiagManagerReceiver: BP_onReceive
12-27 12:28:42.904  1542  1862 I DiagDataManager: notifyCelsiusToRegiedServices notified to receiver index[1]
12-27 12:28:42.904  1542  1862 I BpDiagManagerReceiver: BP_onReceive
12-27 12:28:42.904  1542  1862 I DiagDataManager: notifyCelsiusToRegiedServices notified to receiver index[2]
12-27 12:28:42.904  1542  1862 I BpDiagManagerReceiver: BP_onReceive
12-27 12:28:42.904 26409 13827 I BpDiagManagerReceiver: TRANSACT_DIAG_ONRECEIVE cmd[221] cmd2[5]
12-27 12:28:42.904  1536 13828 D AudioManagerService: bub_cel updated from Diag : payload = 0x1e bub_celsius(30)
12-27 12:28:42.904  1536 13828 I BpDiagManagerReceiver: TRANSACT_DIAG_ONRECEIVE cmd[221] cmd2[5]
12-27 12:28:42.904  1863 12326 I BpDiagManagerReceiver: TRANSACT_DIAG_ONRECEIVE cmd[221] cmd2[5]
12-27 12:28:43.182   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, 22] Cmd[02, 00] PayloadLen[000A] Payload[D9 9E 00 00 00 0F 00 00 00 2D]
12-27 12:28:43.307   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 18 00 09 08 55 00 00 00 01 00 01 00 01 00 01 00 02]
12-27 12:28:43.346   977  1572 E SPIClient_can: CL-ISPI_CSPB_OSC
12-27 12:28:43.346   977  1572 E SPIClient_can: RCV CB Single(0), Group(0)
12-27 12:28:43.346   977  1668 E SPIClient_can: MSG_CAN_BUS_STATE
12-27 12:28:43.346   977  1668 E SPIClient_can: CB_2
12-27 12:28:44.805   991  1523 E CM_SPI  : MCU->MSM Type[02] Cat[04, 00] Cmd[D1, 00] PayloadLen[0006] Payload[16 0C 1B 0C 1C 2E]
12-27 12:28:44.805  1550  1698 V FactoryImpl: onReceive MCU type[x2], cate[x4], subcate[x0], cmd[209], cmd2[x0]
12-27 12:28:44.806  1550  1698 V FactoryUtil: onReceive MCU param[x02][xD1][x00], bufSize[6:6]:[x16][x0C][x1B][x0C][x1C][x2E]...
12-27 12:28:44.806  1550  1689 V FactoryUtil: handleMessage FACTORY_IMPL_RES_FR_MCU_EDU param[x04][xD1][x00], bufSize[6:6]:[x16][x0C][x1B][x0C][x1C][x2E]...
12-27 12:28:44.806  1550  1689 V FactoryEdu: procEduResCommand cate[x04], subCate[x00], cmd[xD1], cmd2[x00]
12-27 12:28:44.806  1550  1689 V FactoryUtil: Res Buffer  bufSize[6]
12-27 12:28:44.806  1550  1689 V FactoryUtil: [x16][x0C][x1B][x0C][x1C][x2E]
12-27 12:28:44.806  1550  1689 V FactoryEdu: procEduResCommand cmd not define cate[x04], subCate[x00], cmd[xD1], cmd2[x00]
12-27 12:28:45.561   987  1482 I LocationServer: droutput:lat:0.000000,lon:0.000000,alt:0.000000
12-27 12:28:45.583   991  1523 E CM_SPI  : MSM->MCU Type[01] Cat[01, 00] Cmd[11, 00] PayloadLen[0000]
12-27 12:28:45.598   991  1523 E CM_SPI  : MCU->MSM Type[02] Cat[01, 00] Cmd[11, 00] PayloadLen[0000]
12-27 12:28:45.598  1550  1698 V FactoryImpl: onReceive MCU type[x2], cate[x1], subcate[x0], cmd[17], cmd2[x0]
12-27 12:28:45.598  1550  1698 V FactoryUtil: onReceive MCU param[x02][x11][x00], buf is NULL
12-27 12:28:45.598  1550  1689 V FactoryUtil: handleMessage FACTORY_IMPL_RES_FR_MCU_EDU param[x01][x11][x00], buf is NULL
12-27 12:28:45.598  1550  1689 V FactoryEdu: procEduResCommand cate[x01], subCate[x00], cmd[x11], cmd2[x00]
12-27 12:28:45.598  1550  1689 V FactoryUtil: Res Buffer  buf is NULL
12-27 12:28:45.598  1550  1689 V FactoryEdu: procEduResCommand cmd not define cate[x01], subCate[x00], cmd[x11], cmd2[x00]
12-27 12:28:45.983   991  1508 E CommunicationManagerService: KICK DOG(364)
12-27 12:28:46.308   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 17 00 09 08 55 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:28:46.542  1542  1680 I DiagReadDTCHandler: checkFaultSettingCondition[false] PM[0] Vol[12.030000] bubTemp [30]
12-27 12:28:47.760  1542 18890 I DiagManagerService: onWatchDog Kick
12-27 12:28:48.002  1539 18919 V DebugManagerServiceImpl: DEBUG_IMPL_KICK_DOG
12-27 12:28:48.161   993  1700 V CRH     : RX_TIME_TO_KICK_DOG
12-27 12:28:48.161   993  1701 V CTH     : TXhandleMessage TX_TIME_TO_KICK_DOG
12-27 12:28:48.162   993  1506 V CANManagerService: perform HeartBeat()
12-27 12:28:48.356   977  1572 E SPIClient_can: CL-ISPI_CSPB_OSC
12-27 12:28:48.356   977  1572 E SPIClient_can: RCV CB Single(0), Group(0)
12-27 12:28:48.356   977  1668 E SPIClient_can: MSG_CAN_BUS_STATE
12-27 12:28:48.356   977  1668 E SPIClient_can: CB_2
12-27 12:28:49.306   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 18 00 09 08 54 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:28:49.502   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, DD] Cmd[05, 00] PayloadLen[0006] Payload[00 FE 00 00 00 1E]
12-27 12:28:52.308   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 18 00 09 08 54 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:28:53.179   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, 22] Cmd[02, 00] PayloadLen[000A] Payload[D9 9E 00 00 00 19 00 00 00 23]
12-27 12:28:53.367   977  1572 E SPIClient_can: CL-ISPI_CSPB_OSC
12-27 12:28:53.367   977  1572 E SPIClient_can: RCV CB Single(0), Group(0)
12-27 12:28:53.367   977  1668 E SPIClient_can: MSG_CAN_BUS_STATE
12-27 12:28:53.367   977  1668 E SPIClient_can: CB_2
12-27 12:28:55.310   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 18 00 09 08 54 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:28:55.406   991  1523 E CM_SPI  : MCU->MSM Type[02] Cat[04, 00] Cmd[D1, 00] PayloadLen[0006] Payload[16 0C 1B 0C 1C 39]
12-27 12:28:55.406  1550  1698 V FactoryImpl: onReceive MCU type[x2], cate[x4], subcate[x0], cmd[209], cmd2[x0]
12-27 12:28:55.406  1550  1698 V FactoryUtil: onReceive MCU param[x02][xD1][x00], bufSize[6:6]:[x16][x0C][x1B][x0C][x1C][x39]...
12-27 12:28:55.406  1550  1689 V FactoryUtil: handleMessage FACTORY_IMPL_RES_FR_MCU_EDU param[x04][xD1][x00], bufSize[6:6]:[x16][x0C][x1B][x0C][x1C][x39]...
12-27 12:28:55.406  1550  1689 V FactoryEdu: procEduResCommand cate[x04], subCate[x00], cmd[xD1], cmd2[x00]
12-27 12:28:55.407  1550  1689 V FactoryUtil: Res Buffer  bufSize[6]
12-27 12:28:55.407  1550  1689 V FactoryUtil: [x16][x0C][x1B][x0C][x1C][x39]
12-27 12:28:55.407  1550  1689 V FactoryEdu: procEduResCommand cmd not define cate[x04], subCate[x00], cmd[xD1], cmd2[x00]
12-27 12:28:55.562   987  1482 I LocationServer: droutput:lat:0.000000,lon:0.000000,alt:0.000000
12-27 12:28:55.584   991  1523 E CM_SPI  : MSM->MCU Type[01] Cat[01, 00] Cmd[11, 00] PayloadLen[0000]
12-27 12:28:55.595   991  1523 E CM_SPI  : MCU->MSM Type[02] Cat[01, 00] Cmd[11, 00] PayloadLen[0000]
12-27 12:28:55.595  1550  1698 V FactoryImpl: onReceive MCU type[x2], cate[x1], subcate[x0], cmd[17], cmd2[x0]
12-27 12:28:55.595  1550  1698 V FactoryUtil: onReceive MCU param[x02][x11][x00], buf is NULL
12-27 12:28:55.596  1550  1689 V FactoryUtil: handleMessage FACTORY_IMPL_RES_FR_MCU_EDU param[x01][x11][x00], buf is NULL
12-27 12:28:55.596  1550  1689 V FactoryEdu: procEduResCommand cate[x01], subCate[x00], cmd[x11], cmd2[x00]
12-27 12:28:55.596  1550  1689 V FactoryUtil: Res Buffer  buf is NULL
12-27 12:28:55.596  1550  1689 V FactoryEdu: procEduResCommand cmd not define cate[x01], subCate[x00], cmd[x11], cmd2[x00]
12-27 12:28:55.983   991  1508 E CommunicationManagerService: KICK DOG(365)
12-27 12:28:56.103   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, DD] Cmd[05, 00] PayloadLen[0006] Payload[00 FE 00 00 00 1E]
12-27 12:28:56.544  1542  1680 I DiagReadDTCHandler: checkFaultSettingCondition[false] PM[0] Vol[12.050000] bubTemp [30]
12-27 12:28:57.759  1542 20062 I DiagManagerService: onWatchDog Kick
12-27 12:28:58.002  1539 20091 V DebugManagerServiceImpl: DEBUG_IMPL_KICK_DOG
12-27 12:28:58.161   993  1700 V CRH     : RX_TIME_TO_KICK_DOG
12-27 12:28:58.162   993  1701 V CTH     : TXhandleMessage TX_TIME_TO_KICK_DOG
12-27 12:28:58.162   993  1506 V CANManagerService: perform HeartBeat()
12-27 12:28:58.309   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 17 00 08 08 54 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:28:58.376   977  1572 E SPIClient_can: CL-ISPI_CSPB_OSC
12-27 12:28:58.376   977  1572 E SPIClient_can: RCV CB Single(0), Group(0)
12-27 12:28:58.376   977  1668 E SPIClient_can: MSG_CAN_BUS_STATE
12-27 12:28:58.376   977  1668 E SPIClient_can: CB_2
12-27 12:29:01.307   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 18 00 09 08 55 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:29:02.711   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, DD] Cmd[05, 00] PayloadLen[0006] Payload[00 FE 00 00 00 1E]
12-27 12:29:03.177   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, 22] Cmd[02, 00] PayloadLen[000A] Payload[D9 9E 00 00 00 23 00 00 00 19]
12-27 12:29:03.386   977  1572 E SPIClient_can: CL-ISPI_CSPB_OSC
12-27 12:29:03.386   977  1572 E SPIClient_can: RCV CB Single(0), Group(0)
12-27 12:29:03.386   977  1668 E SPIClient_can: MSG_CAN_BUS_STATE
12-27 12:29:03.386   977  1668 E SPIClient_can: CB_2
12-27 12:29:04.313   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 18 00 08 08 53 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:29:05.562   987  1482 I LocationServer: droutput:lat:0.000000,lon:0.000000,alt:0.000000
12-27 12:29:05.585   991  1523 E CM_SPI  : MSM->MCU Type[01] Cat[01, 00] Cmd[11, 00] PayloadLen[0000]
12-27 12:29:05.981   991  1508 E CommunicationManagerService: KICK DOG(366)
12-27 12:29:06.008   991  1523 E CM_SPI  : MCU->MSM Type[02] Cat[04, 00] Cmd[D1, 00] PayloadLen[0006] Payload[16 0C 1B 0C 1D 07]
12-27 12:29:06.009  1550  1698 V FactoryImpl: onReceive MCU type[x2], cate[x4], subcate[x0], cmd[209], cmd2[x0]
12-27 12:29:06.009  1550  1698 V FactoryUtil: onReceive MCU param[x02][xD1][x00], bufSize[6:6]:[x16][x0C][x1B][x0C][x1D][x07]...
12-27 12:29:06.009  1550  1689 V FactoryUtil: handleMessage FACTORY_IMPL_RES_FR_MCU_EDU param[x04][xD1][x00], bufSize[6:6]:[x16][x0C][x1B][x0C][x1D][x07]...
12-27 12:29:06.009  1550  1689 V FactoryEdu: procEduResCommand cate[x04], subCate[x00], cmd[xD1], cmd2[x00]
12-27 12:29:06.009  1550  1689 V FactoryUtil: Res Buffer  bufSize[6]
12-27 12:29:06.009  1550  1689 V FactoryUtil: [x16][x0C][x1B][x0C][x1D][x07]
12-27 12:29:06.009  1550  1689 V FactoryEdu: procEduResCommand cmd not define cate[x04], subCate[x00], cmd[xD1], cmd2[x00]
12-27 12:29:06.012   991  1523 E CM_SPI  : MCU->MSM Type[02] Cat[01, 00] Cmd[11, 00] PayloadLen[0000]
12-27 12:29:06.012  1550  1698 V FactoryImpl: onReceive MCU type[x2], cate[x1], subcate[x0], cmd[17], cmd2[x0]
12-27 12:29:06.012  1550  1698 V FactoryUtil: onReceive MCU param[x02][x11][x00], buf is NULL
12-27 12:29:06.012  1550  1689 V FactoryUtil: handleMessage FACTORY_IMPL_RES_FR_MCU_EDU param[x01][x11][x00], buf is NULL
12-27 12:29:06.012  1550  1689 V FactoryEdu: procEduResCommand cate[x01], subCate[x00], cmd[x11], cmd2[x00]
12-27 12:29:06.012  1550  1689 V FactoryUtil: Res Buffer  buf is NULL
12-27 12:29:06.012  1550  1689 V FactoryEdu: procEduResCommand cmd not define cate[x01], subCate[x00], cmd[x11], cmd2[x00]
12-27 12:29:06.545  1542  1680 I DiagReadDTCHandler: checkFaultSettingCondition[false] PM[0] Vol[12.040000] bubTemp [30]
12-27 12:29:07.307   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 18 00 08 08 54 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:29:07.760  1542 21234 I DiagManagerService: onWatchDog Kick
12-27 12:29:08.002  1539 21263 V DebugManagerServiceImpl: DEBUG_IMPL_KICK_DOG
12-27 12:29:08.161   993  1700 V CRH     : RX_TIME_TO_KICK_DOG
12-27 12:29:08.162   993  1701 V CTH     : TXhandleMessage TX_TIME_TO_KICK_DOG
12-27 12:29:08.162   993  1506 V CANManagerService: perform HeartBeat()
12-27 12:29:08.172  1647  1699 E NetworkManagerService: rmnet_data0 | inbps=0 inpps=0 outbps=0 outpps=0
12-27 12:29:08.172  1647  1699 E NetworkManagerService: rmnet_data1 | inbps=0 inpps=0 outbps=0 outpps=0
12-27 12:29:08.396   977  1572 E SPIClient_can: CL-ISPI_CSPB_OSC
12-27 12:29:08.396   977  1572 E SPIClient_can: RCV CB Single(0), Group(0)
12-27 12:29:08.396   977  1668 E SPIClient_can: MSG_CAN_BUS_STATE
12-27 12:29:08.396   977  1668 E SPIClient_can: CB_2
12-27 12:29:09.303   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, DD] Cmd[05, 00] PayloadLen[0006] Payload[00 FE 00 00 00 1F]
12-27 12:29:09.304  1542  1862 I DiagDataManager: Received new bub celsius 31
12-27 12:29:09.304  1542  1862 D Buffer  : start dump length[4]
12-27 12:29:09.304  1542  1862 D Buffer  : [0x00][0x00][0x00][0x1f]
12-27 12:29:09.304  1542  1862 I DiagDataManager: notifyCelsiusToRegiedServices notified to receiver index[0]
12-27 12:29:09.304  1542  1862 I BpDiagManagerReceiver: BP_onReceive
12-27 12:29:09.305  1542  1862 I DiagDataManager: notifyCelsiusToRegiedServices notified to receiver index[1]
12-27 12:29:09.305  1542  1862 I BpDiagManagerReceiver: BP_onReceive
12-27 12:29:09.305  1542  1862 I DiagDataManager: notifyCelsiusToRegiedServices notified to receiver index[2]
12-27 12:29:09.305  1542  1862 I BpDiagManagerReceiver: BP_onReceive
12-27 12:29:09.305  1536 13828 D AudioManagerService: bub_cel updated from Diag : payload = 0x1f bub_celsius(31)
12-27 12:29:09.305  1536 13828 I BpDiagManagerReceiver: TRANSACT_DIAG_ONRECEIVE cmd[221] cmd2[5]
12-27 12:29:09.305 26409 13827 I BpDiagManagerReceiver: TRANSACT_DIAG_ONRECEIVE cmd[221] cmd2[5]
12-27 12:29:09.305  1863 12326 I BpDiagManagerReceiver: TRANSACT_DIAG_ONRECEIVE cmd[221] cmd2[5]
12-27 12:29:10.308   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 19 00 08 08 54 00 00 00 01 00 01 00 01 00 01 00 02]
12-27 12:29:13.177   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, 22] Cmd[02, 00] PayloadLen[000A] Payload[D9 9E 00 00 00 2D 00 00 00 0F]
12-27 12:29:13.307   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 17 00 08 08 54 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:29:13.406   977  1572 E SPIClient_can: CL-ISPI_CSPB_OSC
12-27 12:29:13.406   977  1572 E SPIClient_can: RCV CB Single(0), Group(0)
12-27 12:29:13.406   977  1668 E SPIClient_can: MSG_CAN_BUS_STATE
12-27 12:29:13.406   977  1668 E SPIClient_can: CB_2
12-27 12:29:15.564   987  1482 I LocationServer: droutput:lat:0.000000,lon:0.000000,alt:0.000000
12-27 12:29:15.588   991  1523 E CM_SPI  : MSM->MCU Type[01] Cat[01, 00] Cmd[11, 00] PayloadLen[0000]
12-27 12:29:15.597   991  1523 E CM_SPI  : MCU->MSM Type[02] Cat[01, 00] Cmd[11, 00] PayloadLen[0000]
12-27 12:29:15.597  1550  1698 V FactoryImpl: onReceive MCU type[x2], cate[x1], subcate[x0], cmd[17], cmd2[x0]
12-27 12:29:15.597  1550  1698 V FactoryUtil: onReceive MCU param[x02][x11][x00], buf is NULL
12-27 12:29:15.598  1550  1689 V FactoryUtil: handleMessage FACTORY_IMPL_RES_FR_MCU_EDU param[x01][x11][x00], buf is NULL
12-27 12:29:15.598  1550  1689 V FactoryEdu: procEduResCommand cate[x01], subCate[x00], cmd[x11], cmd2[x00]
12-27 12:29:15.598  1550  1689 V FactoryUtil: Res Buffer  buf is NULL
12-27 12:29:15.598  1550  1689 V FactoryEdu: procEduResCommand cmd not define cate[x01], subCate[x00], cmd[x11], cmd2[x00]
12-27 12:29:15.903   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, DD] Cmd[05, 00] PayloadLen[0006] Payload[00 FE 00 00 00 1E]
12-27 12:29:15.903  1542  1862 I DiagDataManager: Received new bub celsius 30
